Rank,Player,Age,Elo,HardRaw,ClayRaw,GrassRaw,hElo,cElo,gElo
65,Casper Ruud,20.8,1755.9,1577.3,1715.2,1398.1,1666.6,1735.6,1577
66,Andreas Seppi,35.7,1753.5,1696.8,1605.5,1593,1725.2,1679.5,1673.2
67,Pablo Andujar,33.8,1751.3,1494,1769.1,1240.7,1622.6,1760.2,1496
68,Lorenzo Sonego,24.5,1750.8,1523.7,1780.3,1538.9,1637.3,1765.6,1644.9
69,Pierre Hugues Herbert,28.6,1748.5,1638.4,1665.9,1577.6,1693.5,1707.2,1663
70,Cameron Norrie,24.2,1748.3,1675.1,1540.2,1387.9,1711.7,1644.3,1568.1
71,Marton Fucsovics,27.7,1747.4,1678.3,1644.7,1563,1712.9,1696.1,1655.2
72,Egor Gerasimov,27,1742.3,1684.4,1391.6,1260.5,1713.3,1566.9,1501.4
73,Alexei Popyrin,20.2,1740.3,1642.8,1452.7,1548.1,1691.5,1596.5,1644.2
74,Francis Tiafoe,21.8,1739.2,1669.6,1648.9,1493.5,1704.4,1694.1,1616.3
75,Ricardas Berankis,29.4,1738.6,1667.9,1517.6,1380.8,1703.2,1628.1,1559.7
76,Jordan Thompson,25.4,1736,1658.4,1554.6,1536.5,1697.2,1645.3,1636.2
77,Joao Sousa,30.6,1734.6,1631,1647.1,1556.9,1682.8,1690.8,1645.8
78,Alejandro Davidovich Fokina,20.4,1732.9,1588.2,1684.2,1430.2,1660.5,1708.6,1581.5
79,Gregoire Barrere,25.7,1730.4,1653.7,1479.8,1533,1692.1,1605.1,1631.7
80,Dominik Koepfer,25.4,1729.8,1630,1306,1606.2,1679.9,1517.9,1668
81,Steve Johnson,29.8,1725.9,1620.7,1662.8,1597.3,1673.3,1694.4,1661.6
82,Pablo Cuevas,33.8,1725.3,1595,1718.4,1528.4,1660.1,1721.9,1626.9
83,Dennis Novak,26.2,1724.2,1640.5,1535.7,1663.8,1682.4,1630,1694
84,Jiri Vesely,26.3,1723.9,1637.8,1589.2,1660.6,1680.9,1656.6,1692.3
85,Damir Dzumhur,27.5,1723.9,1640.1,1570.9,1623.3,1682,1647.4,1673.6
86,Alexander Bublik,22.4,1723.5,1663.5,1292.6,1553,1693.5,1508.1,1638.3
87,Soon Woo Kwon,21.9,1720.7,1623.7,1238.5,1535.2,1672.2,1479.6,1628
88,Dusan Lajovic,29.3,1716.2,1582.8,1738.2,1316.8,1649.5,1727.2,1516.5
89,Janko Tipsarevic,35.3,1712.7,1669.7,1656.6,1526.9,1691.2,1684.6,1619.8
90,Miomir Kecmanovic,20.2,1711.5,1590.4,1523.2,1556.9,1651,1617.4,1634.2
91,Marcos Baghdatis,34,1711.4,1644.3,1469.7,1583.5,1677.9,1590.6,1647.5
92,Roberto Carballes Baena,26.6,1705.6,1544,1678.5,1333.3,1624.8,1692.1,1519.4
93,Laslo Djere,24.4,1704.7,1316.5,1770.3,1287.7,1510.6,1737.5,1496.2
94,Leonardo Mayer,32.5,1702.8,1641,1659.9,1482.6,1671.9,1681.4,1592.7
95,Federico Delbonis,29.1,1702.5,1532.6,1730.5,1182.5,1617.6,1716.5,1442.5
96,Yasutaka Uchiyama,27.3,1701.5,1638.3,1209,1450,1669.9,1455.2,1575.8
97,Mackenzie Mcdonald,24.1,1697.1,1667.8,1289.2,1599.6,1682.5,1493.2,1648.3
98,Juan Ignacio Londero,26.2,1696.7,1387.7,1698.2,1312.6,1542.2,1697.4,1504.6
99,Thiago Seyboth Wild,19.7,1695.8,1377.1,1683.7,0,1536.5,1689.8,1547.9
100,Steve Darcis,35.7,1695.6,1668.4,1575.8,1536.5,1682,1635.7,1616.1
101,Ivo Karlovic,40.7,1693.1,1644,1565.8,1582.8,1668.6,1629.5,1638
102,Lloyd George Muirhead Harris,22.7,1693.1,1652.5,1441.6,1254.2,1672.8,1567.3,1473.6
103,Cedrik Marcel Stebe,29.1,1692.1,1592.7,1646.1,1446.9,1642.4,1669.1,1569.5
104,Martin Klizan,30.2,1691.6,1637.6,1648.4,1335.2,1664.6,1670,1513.4
105,Jaume Munar,22.5,1688.6,1455.2,1709.3,1270.6,1571.9,1698.9,1479.6
106,Tennys Sandgren,28.3,1685.9,1567.5,1545.7,1587.7,1626.7,1615.8,1636.8
