P1,EloP1,HardRawP1,ClayRawP1,GrassRawP1,hEloP1,cEloP1,gEloP1
Blanch U.,1368.3,1388.4,1297.2,0,1378.4,1332.8,1384.2
Sekiguchi S.,1368,1322.6,0,0,1345.3,1294,1384
Eriksson M.,1366.2,1395.6,1274,0,1380.9,1320.1,1383.1
Roca Batalla O.,1363.2,1246.1,1341.2,1351.8,1304.7,1352.2,1357.5
Glasspool L.,1362.6,1320.4,0,1255.5,1341.5,1291.3,1309.1
Durasovic V.,1362.3,1370.5,1183.9,1404.2,1366.4,1273.1,1383.3
Chung Y.,1361,1303.8,1335.3,1325.1,1332.4,1348.1,1343
Gonzalez A.,1359,1334.6,1332.4,1269,1346.8,1345.7,1314
Crepatte B.,1354.1,1371.3,1186.5,0,1362.7,1270.3,1377.1
Cuevas M.,1353.9,1249.3,1324.8,0,1301.6,1339.4,1376.9
Leshem E.,1352.8,1317.8,1416.2,1500,1335.3,1384.5,1426.4
Imai S.,1352.4,1312.5,0,0,1332.5,1286.2,1376.2
Sultanov K.,1350.5,1381.7,1087.9,1478.1,1366.1,1219.2,1414.3
Griekspoor S.,1349.7,1229,1358.1,0,1289.4,1353.9,1374.9
Ocleppo J.,1346.4,1251.2,1290.7,0,1298.8,1318.5,1373.2
Bonzi B.,1345.3,1253.2,1297.4,1521.8,1299.3,1321.4,1433.6
Gakhov I.,1342.4,1193,1323.3,0,1267.7,1332.9,1371.2
Rinderknech A.,1338.6,1266.8,1263.9,0,1302.7,1301.3,1369.3
Doumbia S.,1334.5,1295.4,1268.8,0,1314.9,1301.7,1367.2
Smith R.,1334.2,1291.1,0,0,1312.7,1277.1,1367.1
Novikov D.,1333.8,1281.5,1223.1,1415,1307.7,1278.5,1374.4
Fanselow S.,1332.7,1270.6,1338.6,0,1301.7,1335.7,1366.4
Neuchrist M.,1332,1278.2,1193.2,0,1305.1,1262.6,1366
Ortega-Olmedo R.,1330.1,1262.5,1297.3,1414,1296.3,1313.7,1372
Redlicki M.,1328.7,1287.5,0,0,1308.1,1274.4,1364.4
Klein B.,1324,1279,1152.3,1372.8,1301.5,1238.2,1348.4
Peliwo F.,1323.8,1278.7,1288,1324,1301.2,1305.9,1323.9
Ehrat S.,1321.7,1150.9,1312,0,1236.3,1316.8,1360.8
Ritschard A.,1321.7,1261.9,1212.3,0,1291.8,1267,1360.8
Blancaneaux G.,1320.1,1174.6,1351.3,0,1247.3,1335.7,1360
King E.,1315.2,1277.7,1221,1211.5,1296.5,1268.1,1263.3
Yevseyev D.,1314.5,1314.3,1140.1,0,1314.4,1227.3,1357.2
Iannaccone F.,1312.9,1231.1,1236.1,0,1272,1274.5,1356.5
Altamirano C.,1312.5,1242.8,1444.2,1500,1277.6,1378.3,1406.2
Setkic A.,1312.2,1286.6,1237.7,1211.3,1299.4,1275,1261.8
Cachin P.,1302.3,1020.9,1356.5,1309.9,1161.6,1329.4,1306.1
Sarkissian A.,1301.7,1234.3,1144.2,1228.8,1268,1222.9,1265.3
Oliveira G.,1300.3,1168.9,1346.4,1356.6,1234.6,1323.3,1328.5
Vukic A.,1298.2,1237.2,1338.5,0,1267.7,1318.4,1349.1
Brkic T.,1294,1173.2,1297.5,1465.6,1233.6,1295.8,1379.8
Nedelko I.,1290,1163.7,1239.5,1277.6,1226.8,1264.7,1283.8
Uchida K.,1289.3,1243.4,1219.9,1364.2,1266.4,1254.6,1326.8
Bega A.,1280,1181.4,1240.4,1439.5,1230.7,1260.2,1359.8
Song E.,1277.2,1227.5,1151,0,1252.3,1214.1,1338.6
Bourchier H.,1276.8,1214,1263.9,1347.7,1245.4,1270.4,1312.3
Pavic A.,1273.3,1238.3,1236.5,1477.6,1255.8,1254.9,1375.4
Cid R.,1266.8,1256.6,1213.4,1500,1261.7,1240.1,1383.4
Banes M.,1251.1,1198,1226.1,1339,1224.6,1238.6,1295
Tokuda R.,1246.8,1210.8,1159,0,1228.8,1202.9,1323.4
Zhurbin A.,1242.8,1118.8,1227.6,0,1180.8,1235.2,1321.4
Reboul F.,1241.3,1122.4,1308,0,1181.8,1274.6,1320.6
Grills J.,1230.6,1151.2,1272.2,0,1190.9,1251.4,1315.3
Takahashi Y.,1209.5,1168.5,1193.9,0,1189,1201.7,1304.8
Ochi M.,1188.9,1139.8,1198.4,0,1164.4,1193.6,1294.5
